dates,campaign_id,campaign_name,campaign_start_date,creative_name,ad_id,total_spent,impressions,clicks,click_through_rate,leads,platform,ad_set_name,ad_set_id,is_total_spent_outlier,is_impressions_outlier,is_clicks_outlier,is_leads_outlier,cpl,cpc,day_of_week,month,conversion_rate,campaign_duration_days,platform_month
2024-09-30,295024176,mbatech_ft&cs_lead-gen-2_150324,2024-03-15,MBATech_Static-4_Salary,392278996,0.0,0.0,0.0,0.0,0.0,linkedin,,,False,False,False,False,0.0,0.0,Monday,September,0.0,199,linkedin_september
2024-11-05,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,Regula_VS_Tech_Static_240924,120212341312480229,256.78,3247.0,12.0,0.0110871574,2.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,False,False,False,False,128.39,21.39833333333333,Tuesday,November,0.16666666666666666,45,facebook_november
2024-11-05,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,1.2_Cr_Static_200924,120212285781150229,5879.27,78710.0,290.0,0.0051962902,35.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,True,True,True,True,167.97914285714288,20.273344827586207,Tuesday,November,0.1206896551724138,45,facebook_november
2024-10-19,295014746,mbatech_al&ai_lead-gen-2_150324,2024-03-15,MBATech_Static-4_Salary,392279606,0.0,0.0,0.0,0.0,0.0,linkedin,,,False,False,False,False,0.0,0.0,Saturday,October,0.0,218,linkedin_october
2024-10-21,295054696,mbatech_dp&pm_lead-gen-3_150324,2024-03-15,MBATech_Static-5_Job,392298726,0.0,0.0,0.0,0.0,0.0,linkedin,,,False,False,False,False,0.0,0.0,Monday,October,0.0,220,linkedin_october
2024-10-25,295054696,mbatech_dp&pm_lead-gen-3_150324,2024-03-15,MBATech_Static-5_Job,392298726,0.0,0.0,0.0,0.0,0.0,linkedin,,,False,False,False,False,0.0,0.0,Friday,October,0.0,224,linkedin_october
2024-10-15,295054696,mbatech_dp&pm_lead-gen-3_150324,2024-03-15,MBATech_Static-6_Business-Tech,392309066,0.0,0.0,0.0,0.0,0.0,linkedin,,,False,False,False,False,0.0,0.0,Tuesday,October,0.0,214,linkedin_october
2024-11-05,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,Drive_Innovation_Static_240924,120212341302630229,245.91,4581.0,12.0,0.0050207378,2.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,False,False,False,False,122.955,20.4925,Tuesday,November,0.16666666666666666,45,facebook_november
2024-11-05,120212285593820229,mba_tech_c-2_lead_gen-2_210924,2024-09-21,India's_First_Tech_MBA_Static_200924,120212285739390229,898.22,7260.0,61.0,0.0108815427,7.0,facebook,Lookalike_Hot_Warm_Token_Enrol_210924,1.2021228559391022e+17,False,False,False,False,128.31714285714287,14.724918032786885,Tuesday,November,0.11475409836065574,45,facebook_november
2024-10-24,295054696,mbatech_dp&pm_lead-gen-3_150324,2024-03-15,MBATech_Static-3_YOU?,392309076,0.0,0.0,0.0,0.0,0.0,linkedin,,,False,False,False,False,0.0,0.0,Thursday,October,0.0,223,linkedin_october
2024-11-05,120212409143760229,mba_tech_c-2_lead_gen-3_260924,2024-09-26,1.2_Cr_Static_200924,120212409341690229,5919.92,109872.0,301.0,0.003968254,37.0,facebook,Prod+Ana+Fintech_Top_Token_Cities_260924,1.2021240914386022e+17,True,True,True,True,159.99783783783784,19.66750830564784,Tuesday,November,0.12292358803986711,40,facebook_november
2024-09-26,295054646,mbatech_dp&pm_lead-gen-1_150324,2024-03-15,MBATech_Static-4_Salary,392318576,0.0,0.0,0.0,0.0,0.0,linkedin,,,False,False,False,False,0.0,0.0,Thursday,September,0.0,195,linkedin_september
